English lemma,Swedish lemma,POS,status
partial differential equation,partiell differentialekvation,NP,automatically verified
chemical reaction,kemisk reaktion,NP,automatically verified
bug report,felrapport,NP,automatically verified
software crash,mjukvarukrasch,NP,automatically verified
organization design,organisationsdesign,NP,automatically verified
enterprise architecture,företagsarkitektur,NP,automatically verified
digital transformation,digital transformation,NP,automatically verified
mobile application development,mobilapplikationsutveckling,NP,automatically verified
framework comparison,ramverksjämförelse,NP,automatically verified
native application development,nativ applikationsutveckling,NP,could not lemmatize swedish adjective
comparative analysis,jämförande analyser,NP,no processing rule for swedish POS sequence
cross platform development,tvärplattformsutveckling,NP,automatically verified
improve teamwork,förbättrat lagarbete,NP,automatically verified
team member turnover,omsättning av projektmedlemmar,NP,no processing rule for swedish POS sequence
consulting firm,konsultföretag,NP,automatically verified
volatile team,rörligt team,NP,automatically verified
home surveillance,hemövervakning,NP,automatically verified
computer security,datasäkerhet,NP,automatically verified
home alarm system,hemlarmsystem,NP,automatically verified
search engine,sökmotor,NP,automatically verified
handwritten recognition,handskrivet erkännande,NP,automatically verified
virtual space,virtuell rymd,NP,automatically verified
head-mounted device,huvudmonterad enhet,NP,automatically verified
registration process,registreringsprocess,NP,automatically verified
participatory sensing,deltagande avkänning,NP,no processing rule for swedish POS sequence
android rooting,android rotning,NP,could not lemmatize swedish adjective
mobile phone,mobil telefon,NP,automatically verified
hardware acceleration,hårdvaruacceleration,NP,automatically verified
state estimation filter,tillståndsskattningsfilter,NP,automatically verified
electric machine,elektrisk maskin,NP,automatically verified
digital signature,digital signatur,NP,automatically verified
elasticity,elasticitet,N,automatically verified
large-scale network,storskaligt nätverk,NP,automatically verified
hardware resource,hårdvara resurs,NP,suspected särskriving
space,rymd,N,automatically verified
satellite,satellit,N,automatically verified
pumping station,pumpstation,NP,automatically verified
pump controller,pumpstyrning,NP,automatically verified
functional testing,funktionell testning,NP,automatically verified
medical data,medicinskt data,NP,automatically verified
heart rate estimation,pulsuppskattning,NP,automatically verified
cold gas propulsion,kallgasframdrivning,NP,automatically verified
thermal control,termisk analys,NP,automatically verified
computer simulation,datorsimulering,NP,automatically verified
transfer function,övergångsfunktion,NP,automatically verified
color scheme,färgschema,NP,automatically verified
color space,färgrum,NP,automatically verified
weighted sum,viktad summa,NP,automatically verified
attractor network,anlockningsnätverk,NP,automatically verified
brain-like computing,hjärnliknande databehandling,NP,no processing rule for swedish POS sequence
hierarchical fusion,hierarkisk fusion,NP,automatically verified
attention mechanism,uppmärksamhetsmekanism,NP,automatically verified
feature-level fusion,funktionssammanfogning på nivån för egenskaper,NP,no processing rule for swedish POS sequence
decision-level fusion,beslutsnivås-funktionssammanfogning,NP,automatically verified
image enhancement,bildförbättring,NP,automatically verified
image style transfer,bildstilöversättning,NP,automatically verified
distributed scheduling,distribuerad schemaläggning,NP,automatically verified
task graphs,uppgiftsgrafer,NP,automatically verified
accelerated signal processing software,accelererad signalbehandlingsmjukvara,NP,automatically verified
electromagnetic wave,elektromagnetisk våg,NP,automatically verified
emitter identification,sändaridentifikation,NP,automatically verified
radar technology,radarteknologi,NP,automatically verified
diffusion model,diffusionsmodell,NP,automatically verified
traffic forecasting,trafikprognos,NP,automatically verified
generative model,generativ modell,NP,could not lemmatize swedish adjective
spatial temporal modelling,rumsligtemporal modellering,NP,automatically verified
medium interaction honeypot,medelinteraktion honungskruka,NP,suspected särskriving
hop,hops,N,automatically verified
learning,inlärning,N,automatically verified
short-term memory,korttidsminne,NP,automatically verified
museum,museum,N,automatically verified
examination,tentamen,N,automatically verified
learning management system,lärplattform,NP,automatically verified
digital,digital,A,automatically verified
drone,drön,N,automatically verified
narrative,narrativ,A,automatically verified
emotional communication,emotionell kommunikation,NP,automatically verified
social media platform,social medieplattformar,NP,automatically verified
climate movement,klimatrörelse,NP,automatically verified
design process,design process,NP,suspected särskriving
human action,mänsklig rörelse,NP,automatically verified
game experience,spelupplevelse,NP,automatically verified
hand controller,handkontroll,NP,automatically verified
risk assessment,riskbedömning,NP,automatically verified
explainable artificial intelligence autonomous driving,förklarlig artificiell intelligens autonom körning,NP,no processing rule for swedish POS sequence
gait phase,gångfas,NP,automatically verified
low-resolution image,lågupplöst bild,NP,automatically verified
human-drone interaction,människodrönarinteraktioner,NP,automatically verified
failure,misslyckande,N,automatically verified
physical activity,fysisk aktivitet,NP,automatically verified
computer,dator,N,automatically verified
older adult,seniorer,NP,automatically verified
information,information,N,automatically verified
friend,vän,N,automatically verified
community,gemenskap,N,automatically verified
self-interference cancellation,självförstörande annullering,NP,no processing rule for swedish POS sequence
cellular network traffic,förutsägelse av mobilnätstrafik,NP,no processing rule for swedish POS sequence
satellite imagery,satellitbilder,NP,automatically verified
weather data,väderdata,NP,automatically verified
ray tracing,strålspårning,NP,automatically verified
strategy game,strategispel,NP,automatically verified
hydraulic erosion,vatten erosion,NP,suspected särskriving
3d erosion,3d erosion,NP,no processing rule for swedish POS sequence
erosion,erosion,N,automatically verified
cognitive performance,kognitiv prestationsförmåga,NP,automatically verified
music,musik,N,automatically verified
mathematics,matematik,N,automatically verified
academic work,akademiskt arbete,NP,automatically verified
perception,perception,N,automatically verified
choice,val,N,automatically verified
digital web environment,digital miljö,NP,automatically verified
reading,läsning,N,automatically verified
interest,intresse,N,automatically verified
time-series segmentation,segment av tidsserier,NP,no processing rule for swedish POS sequence
time-series clustering,tidsserie-kluster,NP,automatically verified
game development,spelutveckling,NP,automatically verified
do,dos,N,automatically verified
forensic readiness,forensisk mogenhet,NP,automatically verified
recommendation system,rekommendationssystem,NP,automatically verified
social engineering attack,social manipulation,NP,automatically verified
human resilience,digitalt fotavtryck,NP,automatically verified
digital footprint,individuell data,NP,automatically verified
human robot interaction,människa-robot interaktion,NP,suspected särskriving
human communication,mänsklig kommunikation,NP,automatically verified
hand gesture,handgest,NP,automatically verified
human augmented mapping,robotnavigering,NP,automatically verified
service robot,servicerobot,NP,automatically verified
digital migration,digital migration,NP,automatically verified
data visualization,datavisualisering,NP,automatically verified
digital campaign,digitalkampanj,NP,automatically verified
policy development,policyutveckling,NP,automatically verified
public funding,offentlig finansiering,NP,automatically verified
migration narrative,migrationsnarrativ,NP,automatically verified
image,radar,N,automatically verified
camera,kamera,N,automatically verified
data fusion,datafusion,NP,automatically verified
3d data processing,3d-databehandling,NP,automatically verified
point cloud,punktmoln,NP,automatically verified
calibration,kalibrering,N,automatically verified
point cloud,punktmoln,NP,automatically verified
feature extraction,egenskapsextraktion,NP,automatically verified
indoor localisation,inomhusnavigation,NP,automatically verified
navigation mesh,navigationsnätverk,NP,automatically verified
image captioning,bildtext,NP,automatically verified
fashion data,modedata,NP,automatically verified
attention based,uppmärksamhetsbaserat,NP,automatically verified
text attribute,textattribut,NP,automatically verified
imagery,bild,N,automatically verified
mobile system,mobilt system,NP,automatically verified
creative tool,kreativt verktyg,NP,automatically verified
creativity support tool,kreativitetsstödjande verktyg,NP,no processing rule for swedish POS sequence
speculative design,spekulativ design,NP,automatically verified
co-speculative workshop,samspekulativ workshop,NP,no processing rule for swedish POS sequence
induction machine,induktionsmotor,NP,automatically verified
crowd simulation,simulering av folkmassor,NP,no processing rule for swedish POS sequence
thesis,impostors,N,automatically verified
data augmentation,data förändring,NP,suspected särskriving
lecture hall,föreläsningssal,NP,automatically verified
evacuation,evakuering,N,automatically verified
evacuation rate,evakueringstakt,NP,automatically verified
layout variation,layoutvariation,NP,automatically verified
motion magnitude,tempo,NP,automatically verified
real-time solution,realtidslösning,NP,automatically verified
integrated navigation system,integrerat navigationssystem,NP,automatically verified
global navigation satellite system,globalt satellitbaserat navigationssystem,NP,no processing rule for swedish POS sequence
connected vehicle,uppkopplat fordon,NP,automatically verified
vehicular communication,fordonskommunikation,NP,automatically verified
cooperative maneuver,kooperativ manöver,NP,automatically verified
maneuver coordination,manöverkoordinering,NP,automatically verified
networks attack,nätverks attacker,NP,suspected särskriving
selective jamming attack,selektiv utstörningsattacker,NP,automatically verified
falsification attack,förfalskningsattack,NP,automatically verified
formal method,formell metod,NP,automatically verified
bounded model checking,begränsad modellprovning,NP,automatically verified
power consumption,energiförbrukning,NP,automatically verified
low-power technique,strömsparande tekniker,NP,no processing rule for swedish POS sequence
eddy-current loss,virvelströmsförluster,NP,automatically verified
reluctance,reluktans,N,automatically verified
mutual information,ömsesidig information,NP,automatically verified
deep neural network,djupt neuronnät,NP,automatically verified
bolt detection,bultdetektering,NP,automatically verified
visual-inertial localization,visuell-tröghetslokalisering,NP,automatically verified
tightening tool,åtdragningsverktyg,NP,automatically verified
new radio,ny radio,NP,automatically verified
shared channel,delad kanal,NP,automatically verified
channel coding,kanalkodning,NP,automatically verified
requirements management,kravhantering,NP,automatically verified
user interface,användargränssnitt,NP,automatically verified
social engineering,social manipulation,NP,automatically verified
gaze tracking,blickspårning,NP,automatically verified
desktop environment,skrivbordsmiljö,NP,automatically verified
remote procedure call,samtal om fjärrprocedur,NP,no processing rule for swedish POS sequence
software performance tracking,mjukvaruprestandaspårning,NP,automatically verified
software performance profiling,mjukvaruprestandaprofilinger,NP,automatically verified
automatic testing,automatisk testning,NP,automatically verified
game development,spelutveckling,NP,automatically verified
game testing,speltestning,NP,automatically verified
active learning,aktivt lärande,NP,automatically verified
multiple choice question,flervalsfrågor,NP,automatically verified
student generated question,studentgenererad fråga,NP,automatically verified
interface evaluation,gränssnittsutvärdering,NP,automatically verified
dynamic transformer rating,dynamisk lastbarhet hos transformatorer,NP,no processing rule for swedish POS sequence
wind energy,vindkraft,NP,automatically verified
wind farm planning,vindkraftsparksplanering,NP,automatically verified
friction,friktion,N,automatically verified
substrate,substrat,N,automatically verified
few-shot learning,fåförsöksinlärning,NP,automatically verified
network monitoring,nätverksövervakning,NP,automatically verified
time-series database,tidseriedatabas,NP,automatically verified
druid,druid,N,automatically verified
accent,brytning,N,automatically verified
stacked generalization,staplade generaliseringar,NP,could not lemmatize swedish adjective
combining classifier,kombinerande klassificerare,NP,no processing rule for swedish POS sequence
name disambiguation,namn disambiguering,NP,suspected särskriving
control barrier function,kontrollbarriärfunktioner,NP,automatically verified
time series data,tidsseriedata,NP,automatically verified
sequence prediction,sekvensförutsägelse,NP,automatically verified
speculative execution,spekulativ exekvering,NP,automatically verified
condition-based maintenance,tillståndsbaserat underhåll,NP,automatically verified
health index,hälsoindex,NP,automatically verified
failure rate,felfrekvens,NP,automatically verified
maintenance scheduling,underhållsplanering,NP,automatically verified
economic analysis,ekonomisk analys,NP,automatically verified
road surface detection,detektion av väg-yta,NP,no processing rule for swedish POS sequence
traffic engineering,trafikteknik,NP,automatically verified
thermal comfort,termisk komfort,NP,automatically verified
sleep quality,sömnkvalitet,NP,automatically verified
well-being,välbefinnande,N,automatically verified
wearable device,bärbar enhet,NP,automatically verified
smart building,smart byggnad,NP,automatically verified
atomic operation,atomiska operationer,NP,could not lemmatize swedish adjective
quality control,kvalitetskontroll,NP,automatically verified
industrial control system,industriellt styrsystem,NP,automatically verified
virtual commissioning,virtuell driftsättning,NP,automatically verified
automation project,automationsprojekt,NP,automatically verified
builds system,bygger system,NP,no processing rule for swedish POS sequence
video on demand,video på begäran,NP,no processing rule for swedish POS sequence
clustering method,klustermetod,NP,automatically verified
data locality,datalokalitet,NP,automatically verified
game theory,spelteori,NP,automatically verified
air combat,luftstrid,NP,automatically verified
deployment,utplacering,N,automatically verified
cognitive impairment,kognitiv funktionsnedsättning,NP,automatically verified
ecological validity,ekologisk validitet,NP,automatically verified
virtual environment,virtuell miljö,NP,automatically verified
spatial join,rumslig förening,NP,automatically verified
threads optimization,optimering av trådar,NP,no processing rule for swedish POS sequence
stream processing,strömbearbetning,NP,automatically verified
loss function,förlustfunktion,NP,automatically verified
peak selection algorithms,toppvalsalgoritmer,NP,automatically verified
peak matching,toppmatchning,NP,automatically verified
time alignment error,tidsfel,NP,automatically verified
trusted hardware,anförtrodd hårdvara,NP,automatically verified
formal verification,formell verifiering,NP,automatically verified
automated verification,automatiserad verifiering,NP,automatically verified
industrial robot programming,industrirobotprogrammering,NP,automatically verified
robot controller,robotkontroll,NP,automatically verified
teach pendant,robotpendant,NP,automatically verified
space,rymd,N,automatically verified
wire boom,trådbom,NP,automatically verified
improvement,förbättring,N,automatically verified
test,test,N,automatically verified
evasion,undanflykt,N,automatically verified
requirement,krav,N,automatically verified
mobile phone,mobiltelefon,NP,automatically verified
time stamping,tidstämpel,NP,automatically verified
mortgage credit risk modeling,modellering av hypotekskreditrisk,NP,no processing rule for swedish POS sequence
mobile communication,kommunikation,NP,automatically verified
digital market,digital marknad,NP,automatically verified
guideline,riktlinje,N,automatically verified
increase,öka,V,automatically verified
test improvement,testförbättring,NP,automatically verified
property-based testing,egenskapsbaserad testning,NP,automatically verified
invariant detection,invariantdetektion,NP,automatically verified
indoor navigation technique,inomhusnavigeringsteknik,NP,automatically verified
indoor navigation,inomhusnavigering,NP,automatically verified
real-time locating system,realtidslokaliseringssystem,NP,automatically verified
visual place recognition,visuell platsigenkänning,NP,automatically verified
indoor scene localization,inomhusbild lokalisering,NP,suspected särskriving
deep neural network,djupt neuronnät,NP,automatically verified
software architecture,mjukvaruarkitektur,NP,automatically verified
smart tube,smart röra,NP,automatically verified
embedded deep learning,inbyggd djupinlärning,NP,automatically verified
time series prediction,tidsserieanalys,NP,automatically verified
frequency,frekvens,N,automatically verified
forecast,prognos,N,automatically verified
motor design,motorkonstruktion,NP,automatically verified
layout,layout,N,automatically verified
document intelligence,dokumentinformation,NP,automatically verified
data integration,data integration,NP,suspected särskriving
communication problem,kommunikationsproblem,NP,automatically verified
information technology,informationsteknik,NP,automatically verified
cross-cultural,tvärkulturell,A,automatically verified
compensation method,ersättningsmetod,NP,automatically verified
study phase,studiefas,NP,automatically verified
observation,observation,N,automatically verified
after study,efterstudie,NP,automatically verified
private network,privat nätverk,NP,automatically verified
initial access,initial access,NP,automatically verified
millimeter-wave network,millimetervågsnätverk,NP,automatically verified
random search,slumpmässig sökning,NP,automatically verified
young boy,ung kille,NP,automatically verified
library,bibliotek,N,automatically verified
interactive reading,interaktiv läsning,NP,automatically verified
participation,delaktighet,N,automatically verified
enhanced reading experience,förhöjd läsupplevelse,NP,automatically verified
sound stimulus,ljudstimuli,NP,automatically verified
light stimulus,ljusstimuli,NP,automatically verified
citric acid,citronsyra,NP,automatically verified
social comparison,social jämförelse,NP,automatically verified
instance segmentation,instanssegmentering,NP,automatically verified
printed circuit board,tryckt kretskort,NP,automatically verified
electrical insulation system,elektriskt isoleringssystem,NP,automatically verified
stator bar,statorstavar,NP,automatically verified
insulation testing,isolationsprovning,NP,automatically verified
rotating machine,roterande maskiner,NP,no processing rule for swedish POS sequence
partial discharge,partiell urladdning,NP,automatically verified
acoustic detection,akustisk detektering,NP,automatically verified
break-down test,nedbrytningstest,NP,automatically verified
spinnaker 2,spinnaker 2,NP,no processing rule for swedish POS sequence
embedded software,inbyggt system,NP,automatically verified
printed circuit board design,kretskortsdesign,NP,automatically verified
power supply,strömförsörjning,NP,automatically verified
firmware development,inbyggd mjukvara,NP,automatically verified
change management,förändringshantering,NP,automatically verified
continuous deployment,kontinuerlig driftsättning,NP,automatically verified
network management,nätverksövervakning,NP,automatically verified
human perception theory,läran om hur människor uppfattar saker och ting,NP,no processing rule for swedish POS sequence
spatial sound,rumsligt ljud,NP,automatically verified
driving,körning,N,automatically verified
navigation guidance,navigering,NP,automatically verified
trouble report,felrapport,NP,automatically verified
log analysis,logganalys,NP,automatically verified
system integration,systemintegration,NP,automatically verified
system evaluation,systemutvärdering,NP,automatically verified
robot operating system,robotoperativsystem,NP,automatically verified
object oriented programming,objektorienterad programmering,NP,automatically verified
planetarium,planetarium,N,automatically verified
radar threat identification,identifikation av radarhot,NP,no processing rule for swedish POS sequence
feature scaling,skalning av dataparametrar,NP,no processing rule for swedish POS sequence
resource optimisation,optimering av resurser,NP,no processing rule for swedish POS sequence
intent classification,avsiktsklassificering,NP,automatically verified
input categorisation,input kategorisering,NP,suspected särskriving
small domain,begränsad domän,NP,automatically verified
automated vehicle,automatiserade fordon,NP,could not lemmatize swedish adjective
driver behaviour modeling,modellering av förarbeteende,NP,no processing rule for swedish POS sequence
trajectory prediction,banförutsägelse,NP,automatically verified
dynamics feature,dynamisk funktion,NP,automatically verified
interaction feature,interaktions funktioner,NP,suspected särskriving
self-attention mechanism,självuppmärksamhets,NP,automatically verified
argumentation framework,ramverk för argumentation,NP,no processing rule for swedish POS sequence
quantitative bipolar argumentation graph,kvantitativ bipolär argumentationsgraf,NP,no processing rule for swedish POS sequence
knowledge representation,kunskapsrepresentation,NP,automatically verified
dispute tree,tvisteträd,NP,automatically verified
explainable artificial intelligence,förklarlig artificiell intelligens,NP,no processing rule for swedish POS sequence
human machine interaction,interaktion mellan människa och maskin,NP,no processing rule for swedish POS sequence
integration,integration,N,automatically verified
network formation,nätverksbildning,NP,automatically verified
topology formation,topologibildning,NP,automatically verified
housing market,bostadsmarknad,NP,automatically verified
hierarchical data model,hierarkisk datamodell,NP,automatically verified
internal charging,intern laddning,NP,automatically verified
plasma,plasma,N,automatically verified
public relation,omvärldsrelation,NP,automatically verified
media landscape,medielandskap,NP,automatically verified
micro controller,mikrokontroller,NP,automatically verified
product development,produktutveckling,NP,automatically verified
swedish procurement,upphandling,NP,automatically verified
identification,identifiering,N,automatically verified
secure communication,säker kommunikation,NP,automatically verified
reliable internet stream transport,rist,NP,automatically verified
live streaming,direktsändning,NP,automatically verified
electricity price forecasting,elprisprognos,NP,automatically verified
sign language interpretation,teckenspråkstolkning,NP,automatically verified
image recognition,bildigenkänning,NP,automatically verified
local interpretable model-agnostic explanation,lokala tolkningsbara modell-agnostiska förklaringar,NP,no processing rule for swedish POS sequence
digital signal processor,digital signalprocessor,NP,automatically verified
application-specific integrated circuit,applikation-specifik integrerad krets,NP,no processing rule for swedish POS sequence
component testing,komponenttestning,NP,automatically verified
end-to-end testing,användartestning,NP,automatically verified
testing framework,testramverk,NP,automatically verified
student experience,student erfarenhet,NP,suspected särskriving
student project,studentprojekt,NP,automatically verified
mobile robot,mobilmanipulatorer,NP,automatically verified
graphical user interface,grafiskt användargränssnitt,NP,automatically verified
industrial application,industriell applikation,NP,automatically verified
pipeline automation,pipeline automation,NP,no processing rule for swedish POS sequence
antenna placement,antennplacering,NP,automatically verified
radiation pattern,strålningsdiagram,NP,automatically verified
electromagnetic propagation,elektromagnetisk förökning,NP,automatically verified
intelligent vehicle,intelligent fordon,NP,automatically verified
vehicular network,fordonstrafik nätverk,NP,suspected särskriving
mining,gruvindustri,N,automatically verified
injection attack,falsifieringsattacker,NP,automatically verified
container networking,containernätverk,NP,automatically verified
tracing,spårning,N,automatically verified
speculative design thinking,spekulativt designtänkande,NP,automatically verified
consumer perception,konsumentuppfattning,NP,automatically verified
consumer choice,konsumentval,NP,automatically verified
consumer labeling,konsumentmärkning,NP,automatically verified
near-future speculation,spekulation om nära framtiden,NP,no processing rule for swedish POS sequence
monolithic,monolitisk,A,automatically verified
gender disparity,könsskillnad,NP,automatically verified
quantitative,kvantitativ,A,automatically verified
interview,intervju,N,automatically verified
survey study,enkätundersökning,NP,automatically verified
storage,lagring,N,automatically verified
schema,schema,N,automatically verified
search engine,sökmotor,NP,automatically verified
search algorithm,sökalgoritm,NP,automatically verified
short document,kort dokument,NP,automatically verified
title,titel,N,automatically verified
title search,titelsökning,NP,automatically verified
digital marketing,digital marknadsföring,NP,automatically verified
attribution modelling,attributionsmodellering,NP,automatically verified
news credibility,nyheter trovärdighet,NP,suspected särskriving
news consumption,nyheter konsumtion,NP,suspected särskriving
digital news,digital nyhet,NP,automatically verified
security tool,säkerhetsverktyg,NP,automatically verified
smart city,smart stad,NP,automatically verified
digital twin,digital tvilling,NP,automatically verified
waste collection,sophämtning,NP,automatically verified
particle swarm,partikelsvärm,NP,automatically verified
tabu search,tabu-sökning,NP,automatically verified
interactive lecture demonstration,interaktiv föreläsningsdemonstration,NP,automatically verified
test environment,testmiljö,NP,automatically verified
imperative test script,imperativ programmering,NP,could not lemmatize swedish adjective
high bandwidth,hög bandbredd,NP,automatically verified
data management,data hantering,NP,suspected särskriving
dielectric strength,dielektrisk styrka,NP,could not lemmatize swedish adjective
high voltage,högspänning,NP,automatically verified
liquid dielectric,dielektriska vätskor,NP,could not lemmatize swedish adjective
electrical breakdown,elektrisk nedbrytning,NP,automatically verified
temperature cycle,temperaturcykling,NP,automatically verified
pattern recognition,mönsterigenkänning,NP,automatically verified
water level estimation,vattennivå uppskattning,NP,suspected särskriving
switching power loss,växlande effektförluster,NP,no processing rule for swedish POS sequence
metal oxide semiconductor field effect transistor,fälteffekttransistor,NP,automatically verified
dynamic rating,dynamisk last,NP,automatically verified
dynamic transformer rating,dynamisk transformatorklassificering,NP,automatically verified
moisture in transformer,fukt i transformatorer,NP,no processing rule for swedish POS sequence
cellulose aging,åldrande av cellulosa,NP,no processing rule for swedish POS sequence
solid insulation aging,åldrande av fast isolation,NP,no processing rule for swedish POS sequence
experiment,experiment,N,automatically verified
imperfect information,ofullständig information,NP,automatically verified
strategy synthesis,strategisyntes,NP,automatically verified
structural condition,strukturellt villkor,NP,automatically verified
sustainability impact assessment,konsekvensbedömning av hållbarhet,NP,no processing rule for swedish POS sequence
start-ups,nystartat företag,NP,automatically verified
impact investing,investeringar med påverkan,NP,no processing rule for swedish POS sequence
venus,venus,N,automatically verified
ion precipitation,utfällningen joner,NP,suspected särskriving
water quality monitoring,vattenkvalitetsövervakning,NP,automatically verified
smart water monitoring,smart vattenmätning,NP,automatically verified
threat modelling,hotmodellering,NP,automatically verified
hardware,hårdvara,N,automatically verified
beauty tech,skönhetsteknik,NP,automatically verified
data security,datasäkerhet,NP,automatically verified
financial forecast,finansiell prognos,NP,automatically verified
examination objective,examensmål,NP,automatically verified
intended learning outcome,lärandemål,NP,automatically verified
quality evaluation,kvalitetsutvärdering,NP,automatically verified
unit testing,enhetstestning,NP,automatically verified
quantitative method,kvantitativ metod,NP,automatically verified
software development,mjukvaruutveckling,NP,automatically verified
scene graph,scengraf,NP,automatically verified
java bean,java-bönor,NP,automatically verified
state space model,tillståndsmodell,NP,automatically verified
maximum likelihood,maximimetoden,NP,automatically verified
ill-conditioned matrix,illakonditionerade matriser,NP,could not lemmatize swedish adjective
academic integrity,akademisk integritet,NP,automatically verified
automated assessment system,kattis,NP,automatically verified
higher education,automatiskt rättningssystem,NP,automatically verified
broken access control,bruten åtkomstkontroll,NP,automatically verified
vulnerability,sårbarhet,N,automatically verified
application security,applikationssäkerhet,NP,automatically verified
process mapping,process kartläggning,NP,suspected särskriving
improvement,förbättring,N,automatically verified
support process,stödprocess,NP,automatically verified
activity,aktivitet,N,automatically verified
information collection,informationssamlare,NP,automatically verified
audit log,granskningslogg,NP,automatically verified
toxic text,toxisk text,NP,could not lemmatize swedish adjective
key management,nyckelhantering,NP,automatically verified
bipolar junction transistor,bipolär transistor,NP,automatically verified
solar cell,solcell,NP,automatically verified
medical image segmentation,medicinsk bildsegmentering,NP,automatically verified
data extraction,datainsamling,NP,automatically verified
data transformation,datatransformation,NP,automatically verified
knowledge base augmentation,kunskapsbasförstärkning,NP,automatically verified
table understanding,tabellförståelse,NP,automatically verified
cityscape,stadslandskap,N,automatically verified
loading time,laddningstid,NP,automatically verified
sleep,sömn,N,automatically verified
sleep quality,sömnkvalitet,NP,automatically verified
graph drawing algorithm,grafritningsalgoritm,NP,automatically verified
force-directed layout,kraftbaserad layout,NP,automatically verified
code analysis,källkodsanalys,NP,automatically verified
code transformation,kodtransformation,NP,automatically verified
abstract representation,abstrakt representation,NP,automatically verified
liturgical year,kyrkoår,NP,automatically verified
data storage,datalagring,NP,automatically verified
stock management system,lagerhanteringssystem,NP,automatically verified
fuel inventory,drivmedelslager,NP,automatically verified
data modeling,datamodellering,NP,automatically verified
inventory management system,lagerhanteringssystem,NP,automatically verified
fuel inventory,drivmedelsvarulager,NP,automatically verified
research,studie,N,automatically verified
database management system,databashanteringssystem,NP,automatically verified
shock absorber,stötdämpare,NP,automatically verified
speech naturalness assessment,naturligt tal bedömning,NP,suspected särskriving
speech quality assessment,ljudkvalitetsbedömning,NP,automatically verified
mean opinion score,medel bedömningsvärdet,NP,suspected särskriving
voice conversion challenge,talkonverteringsutmaningen,NP,automatically verified
semi-supervised learning,semi-övervakad inlärning,NP,could not lemmatize swedish adjective
noisy label,varierande märkningar,NP,no processing rule for swedish POS sequence
network planning,nätverk planering,NP,suspected särskriving
department relocation,avdelning omlokalisering,NP,suspected särskriving
automatic text evaluation,automatisk textutvärdering,NP,automatically verified
large scale data warehouse,storskaligt datalager,NP,automatically verified
porous structure,porös struktur,NP,automatically verified
interlayer gallery,mellanskiktsgalleri,NP,automatically verified
tissue engineering,vävnadsteknik,NP,automatically verified
femtosecond laser patterning,femtosekundlaser-mönstring,NP,automatically verified
booking system,bokningssystem,NP,automatically verified
document layout analysis,dokument layout analys,NP,suspected särskriving
coding theory,kodningsteori,NP,automatically verified
measurement uncertainty,mätosäkerhet,NP,automatically verified
robot learning,robotinlärning,NP,automatically verified
human-robot interaction,människa- robotinteraktion,NP,no processing rule for swedish POS sequence
game mechanic,spelmekanism,NP,automatically verified
thematic analysis,tematisk analys,NP,automatically verified
noisy label,annoterad data,NP,could not lemmatize swedish adjective
domain adaptation,domänanpassning,NP,automatically verified
domain shift,domänskift,NP,automatically verified
domain generalisation,domängeneralisering,NP,automatically verified
autonomous racing,autonom racing,NP,automatically verified
system identification,systemidentifierings,NP,automatically verified
data driven,datadriv,NP,automatically verified
iterative learning control,iterativ inlärningskontroll,NP,could not lemmatize swedish adjective
optimal control,optimal kontroll,NP,automatically verified
predictive control,förutsägbar kontroll,NP,automatically verified
regression,regression,N,automatically verified
sensor-motor coupling,sensor-motorkoppling,NP,automatically verified
reactive tree,reaktivt träd,NP,automatically verified
aerial physical interaction,fysisk interaktion i luften,NP,no processing rule for swedish POS sequence
landing,landning,N,automatically verified
aerial robot,flygrobot,NP,automatically verified
satellite connectivity strategy,strategi för satellitanslutning,NP,no processing rule for swedish POS sequence
flying vehicle,flygande fordon,NP,no processing rule for swedish POS sequence
fashion analysis,modeanalys,NP,automatically verified
clothing attribute recognition,igenkänning av klädesattribut,NP,no processing rule for swedish POS sequence
strategic management,strategisk ledning,NP,automatically verified
dynamic capability,dynamisk förmåga,NP,automatically verified
competitive advantage,konkurrensfördel,NP,automatically verified
education,utbildning,N,automatically verified
child,barn,N,automatically verified
gender,kö,N,automatically verified
computer arithmetic,datoraritmetik,NP,automatically verified
conjugate gradient,konjugerad gradient,NP,could not lemmatize swedish adjective
floating point,flytande punkt,NP,no processing rule for swedish POS sequence
high-performance computing,högpresterande beräkningar,NP,no processing rule for swedish POS sequence
domain generalization,domängeneralisering,NP,automatically verified
synthetic image,syntetisk bild,NP,automatically verified
wireless sensor network,trådlöst sensornätverk,NP,automatically verified
classification yard,rangerbangård,NP,automatically verified
life cycle assessment,livscykelanalys,NP,automatically verified
power infrastructure,energiinfrastrukturer,NP,automatically verified
wireless transmission,trådlös överföring,NP,automatically verified
radio shadow,radioskugga,NP,automatically verified
link budget,länkbudget,NP,automatically verified
message authentication,meddelandeautentisering,NP,automatically verified
interior design,interiördesign,NP,automatically verified
automated design,automatiserad design,NP,automatically verified
line loss prediction,förlustprognos,NP,automatically verified
lin-ear programming,linjär programmering,NP,automatically verified
nordic exchange flow,nordiskt transmissionsflöden,NP,automatically verified
analytical model,analytisk modellering,NP,automatically verified
linear electric motors design,dragkraft,NP,automatically verified
thrust,enkelsidig linjär induktionsmotor,NP,no processing rule for swedish POS sequence
entropy,entropi,N,automatically verified
link adaptation,länkanpassning,NP,automatically verified
radio link blockage,blockering av radiolänkar,NP,no processing rule for swedish POS sequence
